2017-12-21 23:24:32.018 INFO  NServiceBus.RecoverabilityExecutor Immediate Retry is going to retry message '3eee36d6-200b-4d59-bd73-a8500171327b' because of an exception:
System.InvalidOperationException: No connection string named 'MRSchneiderEntities' could be found in the application config file.
   en System.Data.Entity.Internal.LazyInternalConnection.get_ConnectionHasModel()
   en System.Data.Entity.Internal.LazyInternalContext.InitializeContext()
   en System.Data.Entity.Internal.InternalContext.Initialize()
   en System.Data.Entity.Internal.InternalContext.GetEntitySetAndBaseTypeForType(Type entityType)
   en System.Data.Entity.Internal.Linq.InternalSet`1.Initialize()
   en System.Data.Entity.Internal.Linq.InternalSet`1.get_InternalContext()
   en System.Data.Entity.Internal.Linq.InternalSet`1.ActOnSet(Action action, EntityState newState, Object entity, String methodName)
   en System.Data.Entity.Internal.Linq.InternalSet`1.Add(Object entity)
   en System.Data.Entity.DbSet`1.Add(TEntity entity)
   en ClienteFormulario.CapaCRUD.ContadoresAguaController.Create(ContadoresAgua obj) en C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ManuerlRoldan_SchneiderE\CapaCRUD\ContadoresAguaController.cs:línea 17
   en MyClassLibrary.EventsHandler.Handle(DispositivoDadoDeAlta message, IMessageHandlerContext context) en C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\MyClassLibrary\MyClassLibrary\EventsHandler.cs:línea 27
   en lambda_method(Closure , Object , Object , IMessageHandlerContext )
   en NServiceBus.Pipeline.MessageHandler.Invoke(Object message, IMessageHandlerContext handlerContext) en C:\BuildAgent\work\a93f853f0c1b9532\src\NServiceBus.Core\Pipeline\Incoming\MessageHandler.cs:línea 43
   en NServiceBus.InvokeHandlerTerminator.Terminate(IInvokeHandlerContext context) en C:\BuildAgent\work\a93f853f0c1b9532\src\NServiceBus.Core\Pipeline\Incoming\InvokeHandlerTerminator.cs:línea 24
   en NServiceBus.Pipeline.PipelineTerminator`1.Invoke(T context, Func`2 next) en C:\BuildAgent\work\a93f853f0c1b9532\src\NServiceBus.Core\Pipeline\PipelineTerminator.cs:línea 27
   en lambda_method(Closure , IInvokeHandlerContext )
   en NServiceBus.LoadHandlersConnector.<Invoke>d__1.MoveNext() en C:\BuildAgent\work\a93f853f0c1b9532\src\NServiceBus.Core\Pipeline\Incoming\LoadHandlersConnector.cs:línea 40
